"O que representa um risco no uso de latões em ambientes marinhos na indústria de petróleo e gás?","A formação de óxido de cobre na superfície.","A dezincificação, que é a eliminação seletiva de zinco por corrosão galvânica em águas ricas em oxigênio.","A dificuldade de soldagem devido à presença de zinco.","A baixa resistência térmica, limitando seu uso em válvulas de alta pressão.","B"
"Qual das alternativas abaixo representa corretamente uma característica obtida por meio da anodização?","Aumento da resistência mecânica geral da peça, incluindo seu núcleo.","Formação de uma camada protetora de óxido que melhora a resistência à corrosão e a estética da superfície.","Redução do peso da peça devido à formação de uma camada de óxido leve.","Alteração das propriedades térmicas e elétricas do alumínio, tornando-o um isolante.","B"
"O níquel e suas ligas são utilizados principalmente em qual função na indústria de petróleo e gás?","Principal material para fabricação de estruturas de plataformas de perfuração.","Revestimento de aços para proteção contra corrosão em sistemas de transporte e armazenamento.","Componentes de brocas e ferramentas de perfuração.","Equipamentos de isolamento térmico em unidades de refino.","B"
"Por que as ligas de magnésio são uma alternativa viável na fabricação de componentes leves?","Por apresentarem alta resistência à corrosão em ambientes marítimos.","Devido à sua baixa densidade e rigidez comparável aos plásticos de engenharia.","Por serem altamente resistentes ao impacto.","Devido ao seu baixo custo em relação ao alumínio.","B"
"Qual é o maior desafio no uso do titânio em equipamentos para exploração de petróleo em águas profundas?","Alta suscetibilidade à corrosão em água salgada.","Elevado custo, devido à complexidade dos processos de fabricação e tratamento.","Baixa resistência mecânica em ambientes agressivos.","Dificuldade de integração com outros materiais.","B"
"Qual das alternativas abaixo descreve corretamente uma aplicação típica para ligas de níquel, para ambientes sujeitos a altas temperaturas e atmosferas corrosivas?","Principal material para fabricação de estruturas de plataformas de perfuração.","Revesmento de aços para proteção contra corrosão em sistemas de transporte e armazenamento.","Componentes de brocas e ferramentas de perfuração.","Equipamentos de isolamento térmico em unidades de refino.","B"
"No processo de fabricação de eixos de transmissão, é necessário melhorar a resistência à tração e à dureza da superfície, mantendo um núcleo dúctil para resistir a tensões dinâmicas. Qual seria o tratamento térmico mais indicado?","Recozimento pleno, para reduzir tensões internas e melhorar a ductilidade.","Esferoidização, para obter uma estrutura globular e melhorar a usinabilidade.","Têmpera seguida de revenido, para obter martensita e corrigir fragilidades.","Normalização, para uniformizar a microestrutura antes da conformação mecânica.","C"
"O recozimento pleno é um tratamento térmico amplamente utilizado. Qual o objetivo principal desse processo?","Reduzir as tensões internas e restaurar a ductilidade do material.","Endurecer a superfície para aumentar a resistência ao desgaste.","Melhorar a resistência à corrosão em meios agressivos.","Criar uma camada endurecida na superfície do material.","A"
"Qual é a principal vantagem do processo de fundição?","Permite a fabricação de peças grandes e com formatos complexos.","Aumenta a resistência mecânica do material.","Reduz o peso do material para peças estruturais.","Elimina a necessidade de tratamentos térmicos posteriores.","A"
"No processo de forjamento, qual é a principal vantagem para a peça produzida?","A peça forjada fica mais resistente devido ao alinhamento dos grãos do material.","O material forjado é mais leve que o material fundido.","O forjamento não precisa de calor para ser realizado.","A peça forjada tem alta precisão dimensional sem acabamento.","A"
"O que é a galvanização e qual sua principal função?","Revestir peças com alumínio para aumentar a resistência ao calor.","Aplicar uma camada de zinco no material para proteger contra a corrosão.","Cobrir a peça com cromo para melhorar sua aparência.","Aplicar um filme plástico no material para isolar eletricamente.","B"
"O revenimento é um tratamento térmico realizado após a têmpera. Qual o principal objetivo desse processo?","Reduzir a fragilidade do aço, ajustando suas propriedades mecânicas.","Aumentar a dureza do material para aplicações estruturais.","Uniformizar a microestrutura para melhorar a resistência à corrosão.","Reduzir a ductilidade para melhorar a resistência ao desgaste.","A"
"A anodização é um tratamento de superfície aplicado principalmente em alumínio. Qual é o principal benefício desse processo?","Aumentar a dureza do núcleo do material.","Formar uma camada de óxido protetora para melhorar a resistência à corrosão.","Reduzir o peso do material em aplicações estruturais.","Melhorar a condutividade elétrica do alumínio.","B"
"A proteção catódica é amplamente utilizada para evitar a corrosão em estruturas metálicas enterradas. Qual o princípio básico desse método?","Aplicação de um revestimento não condutor na superfície metálica.","Utilização de ânodos de sacrifício para corroer preferencialmente, protegendo o metal base.","Redução da quantidade de oxigênio ao redor do metal por meio de barreiras físicas.","Substituição dos elementos mais reativos na composição do metal base.","B"
"No tratamento térmico de alívio de tensões, qual é o principal objetivo?","Reduzir tensões residuais provocadas por têmpera.","Aumentar a resistência mecânica por meio da recristalização.","Criar uma camada endurecida na superfície do material.","Aumentar a dureza e resistência mecânica.","A"
"Para proteger tubulações metálicas enterradas contra a corrosão, é comum usar uma técnica que envolve a conexão de metais mais reativos ao sistema, os quais se corroem no lugar da tubulação. Qual o nome desse método de proteção?","Revestimento simples com tintas.","Proteção catódica por ânodos de sacrifício.","Recozimento para alívio de tensões internas.","Anodização com camadas de óxido protetor.","B"
